,keywords,number_of_times_word_appeared,tf,idf,tf_idf
304,e,1321,0.10930001654807214,-7.186144304522325,-0.7854456914011245
473,r,712,0.058911136852556674,-6.568077911411976,-0.3869329366974455
515,c,587,0.048568591759060066,-6.375024819828097,-0.30962597792810626
621,u,342,0.02829720337580672,-5.834810737062605,-0.16510882608600122
605,g,305,0.025235810028131724,-5.720311776607412,-0.14435670129614933
92,b,190,0.015720668542114843,-5.247024072160486,-0.08248672627093268
648,co,130,0.010756246897236471,-4.867534450455582,-0.05235640232990449
569,ing,103,0.008522257157041205,-4.634728988229636,-0.03949835229088636
527,al,103,0.008522257157041205,-4.634728988229636,-0.03949835229088636
637,le,100,0.008274036074797287,-4.605170185988091,-0.03810334424944639
123,de,82,0.006784709581333774,-4.406719247264253,-0.029898310299161738
18,et,82,0.006784709581333774,-4.406719247264253,-0.029898310299161738
182,com,58,0.004798940923382426,-4.060443010546419,-0.01948582613037335
257,inte,41,0.003392354790666887,-3.713572066704308,-0.012597753990971093
394,iot,37,0.003061393347674996,-3.6109179126442243,-0.011054440076769511
581,id,31,0.002564951183187159,-3.4339872044851463,-0.00880800954319374
140,ment,25,0.0020685090186993217,-3.2188758248682006,-0.006658273673813091
623,internet,25,0.0020685090186993217,-3.2188758248682006,-0.006658273673813091
774,x,23,0.0019030282972033758,-3.1354942159291497,-0.005966934218630684
753,able,22,0.0018202879364554029,-3.0910424533583156,-0.005626587288919654
660,est,21,0.0017375475757074302,-3.044522437723423,-0.0052900025808532095
574,ran,21,0.0017375475757074302,-3.044522437723423,-0.0052900025808532095
104,work,18,0.0014893264934635116,-2.890371757896165,-0.004304707234993461
741,per,18,0.0014893264934635116,-2.890371757896165,-0.004304707234993461
185,cur,16,0.0013238457719675658,-2.772588722239781,-0.0036704798573420896
831,one,16,0.0013238457719675658,-2.772588722239781,-0.0036704798573420896
793,ip,16,0.0013238457719675658,-2.772588722239781,-0.0036704798573420896
272,use,15,0.0012411054112195928,-2.70805020110221,-0.0033609757584422595
177,thing,15,0.0012411054112195928,-2.70805020110221,-0.0033609757584422595
75,challenge,15,0.0012411054112195928,-2.70805020110221,-0.0033609757584422595
41,end,15,0.0012411054112195928,-2.70805020110221,-0.0033609757584422595
595,two,14,0.0011583650504716201,-2.639057329615259,-0.0030569917768172783
