,keywords,relevance,paper,conference
0,['data centre energy'],[0.6243],['paperTitel'],['conferenceTitel']
1,['green data cen'],[0.5051],['paperTitel'],['conferenceTitel']
2,['papers measuring efﬁciency'],[0.4831],['paperTitel'],['conferenceTitel']
3,['emissions ict increasing'],[0.4512],['paperTitel'],['conferenceTitel']
4,['metrics infrastructure model'],[0.4258],['paperTitel'],['conferenceTitel']
5,['implementing green sustainable'],[0.4106],['paperTitel'],['conferenceTitel']
6,['overheads typical data'],[0.4046],['paperTitel'],['conferenceTitel']
7,['th ieee'],[0.4005],['paperTitel'],['conferenceTitel']
8,['cooling efﬁciency improvements'],[0.3977],['paperTitel'],['conferenceTitel']
9,['productivity online http'],[0.3818],['paperTitel'],['conferenceTitel']
10,['sources promoting use'],[0.3691],['paperTitel'],['conferenceTitel']
11,['uddin rahman renewable'],[0.3612],['paperTitel'],['conferenceTitel']
12,['personal copy renewable'],[0.3425],['paperTitel'],['conferenceTitel']
13,['international survey'],[0.3414],['paperTitel'],['conferenceTitel']
14,['compared consumption fig'],[0.3404],['paperTitel'],['conferenceTitel']
15,['performed avoid technical'],[0.3333],['paperTitel'],['conferenceTitel']
16,['version data'],[0.3285],['paperTitel'],['conferenceTitel']
17,['print climate'],[0.3282],['paperTitel'],['conferenceTitel']
18,['average carbon intensity'],[0.3024],['paperTitel'],['conferenceTitel']
19,['either indi vidually'],[0.2528],['paperTitel'],['conferenceTitel']
