,keywords,relevance,paper,conference
0,['green technology adoption'],[0.6645],['paperTitel'],['conferenceTitel']
1,['business environmental footprint'],[0.55],['paperTitel'],['conferenceTitel']
2,['information system sustainability'],[0.5441],['paperTitel'],['conferenceTitel']
3,['australian workforce digital'],[0.4431],['paperTitel'],['conferenceTitel']
4,['tackle climate problem'],[0.4369],['paperTitel'],['conferenceTitel']
5,['icts estimated contribute'],[0.4164],['paperTitel'],['conferenceTitel']
6,['technology permeated'],[0.3881],['paperTitel'],['conferenceTitel']
7,['technology rmit university'],[0.3273],['paperTitel'],['conferenceTitel']
8,['energy consumption implementation'],[0.3263],['paperTitel'],['conferenceTitel']
9,['initiatives cover creating'],[0.3155],['paperTitel'],['conferenceTitel']
10,['australasian conference information'],[0.3084],['paperTitel'],['conferenceTitel']
11,['consumer'],[0.2633],['paperTitel'],['conferenceTitel']
12,['readiness dimensions'],[0.2615],['paperTitel'],['conferenceTitel']
13,['operations potential benefits'],[0.2542],['paperTitel'],['conferenceTitel']
14,['molla gitam model'],[0.2397],['paperTitel'],['conferenceTitel']
15,['limited availability rising'],[0.2396],['paperTitel'],['conferenceTitel']
16,['reduction carbon'],[0.2314],['paperTitel'],['conferenceTitel']
17,['running data centre'],[0.2105],['paperTitel'],['conferenceTitel']
18,['enhancement downloaded file'],[0.1751],['paperTitel'],['conferenceTitel']
19,['citations reads'],[0.1598],['paperTitel'],['conferenceTitel']
