,keywords,number_of_times_word_appeared,idf,tf,tf_idf
775,['name'],173,-5.153291594497779,0.002710621562759507,-0.013968623315233
161,['per'],120,-4.787491742782046,0.0018801999279256694,-0.00900144162972354
2224,['ist'],96,-4.564348191467836,0.0015041599423405356,-0.006865509712500388
4053,['proc'],96,-4.564348191467836,0.0015041599423405356,-0.006865509712500388
540,['word'],88,-4.477336814478207,0.0013788132804788242,-0.006173411460979305
535,['type'],87,-4.465908118654584,0.0013631449477461103,-0.006087680089042332
2,['entity'],85,-4.442651256490317,0.0013318082822806824,-0.005916759738678484
1605,['lin'],81,-4.394449154672439,0.001269134951349827,-0.005577149014124494
28,['conference'],79,-4.3694478524670215,0.001237798285884399,-0.0054084950620449474
3385,['act'],79,-4.3694478524670215,0.001237798285884399,-0.0054084950620449474
3380,['cor'],78,-4.356708826689592,0.0012221299531516852,-0.005324464354257684
1,['named'],72,-4.276666119016055,0.0011281199567554016,-0.004824592397241683
46,['text'],64,-4.1588830833596715,0.0010027732948936904,-0.004170416892578208
2148,['stem'],64,-4.1588830833596715,0.0010027732948936904,-0.004170416892578208
127,['system'],62,-4.127134385045092,0.0009714366294282625,-0.004009249516205689
1589,['ner'],61,-4.110873864173311,0.0009557682966955486,-0.003929042911091174
1834,['feature'],58,-4.060443010546419,0.0009087632984974068,-0.0036899815836249046
95,['use'],55,-4.007333185232471,0.0008617583002992652,-0.0034533526344387748
22,['language'],55,-4.007333185232471,0.0008617583002992652,-0.0034533526344387748
5108,['tan'],52,-3.951243718581427,0.0008147533021011234,-0.0032192888671205397
111,['features'],46,-3.828641396489095,0.00072074330570484,-0.002759467656463945
4034,['stan'],45,-3.8066624897703196,0.000705074972972126,-0.002683982452088814
74,['entities'],44,-3.784189633918261,0.0006894066402394121,-0.002608845461548399
77,['one'],42,-3.7376696182833684,0.0006580699747739844,-0.002459648151417224
58,['names'],41,-3.713572066704308,0.0006424016420412704,-0.0023856047934894416
