,keywords,number_of_times_word_appeared,idf,tf,tf_idf
622,['ation'],243,-5.493061443340548,0.0030707407688225037,-0.016867767719712806
781,['ning'],235,-5.459585514144159,0.0029696464225238204,-0.016213038590541073
5123,['mat'],215,-5.3706380281276624,0.002716910556777112,-0.01459154315524866
424,['learn'],185,-5.220355825078324,0.00233780675815705,-0.01220418312785263
1817,['pro'],181,-5.198497031265826,0.0022872595850077083,-0.011890312162396877
1,['learning'],176,-5.170483995038151,0.0022240756185710315,-0.011499547389576094
5124,['res'],163,-5.093750200806762,0.002059797305835671,-0.010492092940221676
1531,['com'],162,-5.0875963352323845,0.002047160512548336,-0.010415126321273364
200,['data'],154,-5.0369526024136295,0.0019460661662496525,-0.009802243040560302
1309,['ture'],145,-4.976733742420574,0.0018323350266636338,-0.00911904355461601
381,['mate'],144,-4.969813299576001,0.0018196982333762983,-0.009043560481448481
4794,['mater'],135,-4.90527477843843,0.0017059670937902799,-0.008368237358015366
6362,['rial'],134,-4.897839799950911,0.0016933303005029444,-0.008293660540266158
613,['con'],131,-4.875197323201151,0.0016554199206409383,-0.008070498765882565
5313,['mach'],130,-4.867534450455582,0.0016427831273536028,-0.007996303467020821
0,['machine'],128,-4.852030263919617,0.0016175095407789319,-0.0078482052440381
2550,['nal'],124,-4.820281565605037,0.0015669623676295903,-0.007553199814681737
595,['model'],122,-4.804021044733257,0.0015416887810549196,-0.007406305348616996
207,['material'],118,-4.770684624465665,0.001491141607905578,-0.00711376634173615
5097,['comp'],114,-4.736198448394496,0.0014405944347562363,-0.006822941126658232
1745,['ith'],112,-4.718498871295094,0.0014153208481815654,-0.0066781898246651315
264,['cal'],108,-4.68213122712422,0.0013647736750322238,-0.006390049441825457
300,['work'],97,-4.574710978503383,0.0012257689488715344,-0.0056075386675111605
3087,['ity'],93,-4.532599493153256,0.0011752217757221928,-0.005326809624981081
2055,['ence'],92,-4.5217885770490405,0.0011625849824348574,-0.005256963493422698
