,keywords,number_of_times_word_appeared,idf,tf,tf_idf
369,['ent'],295,-5.68697535633982,0.007238020462742596,-0.04116244400030049
1729,['ter'],203,-5.313205979041787,0.004980739504870329,-0.026463694917326665
636,['ment'],162,-5.0875963352323845,0.003974777338862036,-0.020222062622559225
1401,['ers'],149,-5.003946305945459,0.00365581372524965,-0.018293495585687696
221,['com'],147,-4.990432586778736,0.003606742400078514,-0.017999204805468367
5,['green'],126,-4.836281906951478,0.0030914934857815836,-0.01495133401074383
148,['pro'],120,-4.787491742782046,0.0029442795102681747,-0.014095713843851252
1520,['vir'],114,-4.736198448394496,0.002797065534754766,-0.013247457445763243
894,['envi'],102,-4.624972813284271,0.0025026375837279486,-0.0115746307862452
738,['tal'],100,-4.605170185988091,0.002453566258556812,-0.011299090183252179
168,['environ'],98,-4.584967478670572,0.002404494933385676,-0.011024531072201488
41,['use'],89,-4.48863636973214,0.002183673970115563,-0.00980171840189809
737,['environmen'],88,-4.477336814478207,0.0021591383075299946,-0.009667189431854213
188,['con'],88,-4.477336814478207,0.0021591383075299946,-0.009667189431854213
169,['mental'],86,-4.454347296253507,0.0021100669823588586,-0.00939897115778398
24,['environment'],85,-4.442651256490317,0.0020855313197732906,-0.009265288338240718
2108,['ronmental'],76,-4.330733340286331,0.0018647103565031773,-0.00807556331088552
59,['vironmental'],72,-4.276666119016055,0.0017665677061609048,-0.007555020255886252
1629,['ters'],71,-4.2626798770413155,0.0017420320435753368,-0.007425724937309748
1313,['puter'],71,-4.2626798770413155,0.0017420320435753368,-0.007425724937309748
1628,['cen'],70,-4.248495242049359,0.0017174963809897686,-0.007296775202872026
116,['computer'],70,-4.248495242049359,0.0017174963809897686,-0.007296775202872026
34,['environmental'],69,-4.23410650459726,0.0016929607184042006,-0.007168175989822875
780,['ergy'],62,-4.127134385045092,0.0015212110803052236,-0.006278242556439278
2705,['enter'],61,-4.110873864173311,0.0014966754177196556,-0.006152643857854406
